timestamp,acc_mag,heart_rate
2025-10-17T13:08:51+09:00,0.99,83.0
2025-10-17T13:08:52+09:00,0.99,82.0
2025-10-17T13:08:53+09:00,0.99,83.0
2025-10-17T13:08:54+09:00,0.99,83.0
2025-10-17T13:08:55+09:00,0.99,83.0
2025-10-17T13:08:56+09:00,0.99,82.0
2025-10-17T13:08:57+09:00,0.99,82.0
2025-10-17T13:08:58+09:00,0.99,83.0
2025-10-17T13:08:59+09:00,0.99,83.0
2025-10-17T13:09:00+09:00,0.99,83.0
2025-10-17T13:09:01+09:00,0.99,83.0
2025-10-17T13:09:02+09:00,0.99,83.0
2025-10-17T13:09:03+09:00,0.99,82.0
2025-10-17T13:09:04+09:00,0.99,82.0
2025-10-17T13:09:05+09:00,0.99,82.0
2025-10-17T13:09:06+09:00,0.99,82.0
2025-10-17T13:09:07+09:00,0.99,82.0
2025-10-17T13:09:08+09:00,0.99,82.0
2025-10-17T13:09:09+09:00,0.99,82.0
2025-10-17T13:09:10+09:00,0.99,82.0
2025-10-17T13:09:11+09:00,0.99,82.0
2025-10-17T13:09:12+09:00,0.99,82.0
2025-10-17T13:09:13+09:00,0.99,82.0
2025-10-17T13:09:14+09:00,0.99,82.0
2025-10-17T13:09:15+09:00,0.99,82.0
2025-10-17T13:09:16+09:00,0.99,82.0
2025-10-17T13:09:17+09:00,0.99,82.0
2025-10-17T13:09:18+09:00,0.99,81.0
2025-10-17T13:09:19+09:00,0.99,81.0
2025-10-17T13:09:20+09:00,0.99,81.0
2025-10-17T13:09:21+09:00,0.99,81.0
2025-10-17T13:09:22+09:00,0.99,82.0
2025-10-17T13:09:23+09:00,0.99,82.0
2025-10-17T13:09:24+09:00,0.99,83.0
2025-10-17T13:09:25+09:00,0.99,83.0
2025-10-17T13:09:26+09:00,0.99,83.0
2025-10-17T13:09:27+09:00,0.99,83.0
2025-10-17T13:09:28+09:00,0.99,84.0
2025-10-17T13:09:29+09:00,0.99,85.0
2025-10-17T13:09:30+09:00,0.99,86.0
2025-10-17T13:09:31+09:00,0.99,86.0
2025-10-17T13:09:32+09:00,0.99,86.0
2025-10-17T13:09:33+09:00,0.99,86.0
2025-10-17T13:09:34+09:00,0.99,86.0
2025-10-17T13:09:35+09:00,0.99,86.0
2025-10-17T13:09:36+09:00,0.99,86.0
2025-10-17T13:09:37+09:00,0.99,86.0
2025-10-17T13:09:38+09:00,0.99,87.0
2025-10-17T13:09:39+09:00,0.99,87.0
2025-10-17T13:09:40+09:00,0.99,88.0
2025-10-17T13:09:41+09:00,0.99,89.0
2025-10-17T13:09:42+09:00,0.99,89.0
2025-10-17T13:09:43+09:00,0.99,90.0
2025-10-17T13:09:44+09:00,0.99,90.0
2025-10-17T13:09:45+09:00,0.99,90.0
2025-10-17T13:09:46+09:00,0.99,91.0
2025-10-17T13:09:47+09:00,0.98,91.0
2025-10-17T13:09:48+09:00,0.99,91.0
2025-10-17T13:09:49+09:00,0.99,91.0
2025-10-17T13:09:50+09:00,0.98,91.0
2025-10-17T13:09:51+09:00,0.99,91.0
2025-10-17T13:09:52+09:00,0.99,92.0
2025-10-17T13:09:53+09:00,0.98,91.0
2025-10-17T13:09:54+09:00,0.98,91.0
2025-10-17T13:09:55+09:00,0.98,91.0
2025-10-17T13:09:56+09:00,0.99,92.0
2025-10-17T13:09:57+09:00,0.99,92.0
2025-10-17T13:09:58+09:00,0.99,92.0
2025-10-17T13:09:59+09:00,0.99,93.0
2025-10-17T13:10:00+09:00,0.98,93.0
2025-10-17T13:10:01+09:00,0.99,93.0
2025-10-17T13:10:02+09:00,0.98,94.0
2025-10-17T13:10:03+09:00,0.99,94.0
2025-10-17T13:10:04+09:00,0.98,94.0
2025-10-17T13:10:05+09:00,0.98,94.0
2025-10-17T13:10:06+09:00,0.99,95.0
2025-10-17T13:10:07+09:00,0.99,95.0
2025-10-17T13:10:08+09:00,0.99,96.0
2025-10-17T13:10:09+09:00,0.99,97.0
2025-10-17T13:10:10+09:00,0.99,97.0
2025-10-17T13:10:11+09:00,0.97,100.0
2025-10-17T13:10:12+09:00,0.98,101.0
2025-10-17T13:10:13+09:00,0.99,103.0
2025-10-17T13:10:14+09:00,0.97,104.0
